?ConceptURI	?ConceptNaam	?Definitie
<https://data.rws.nl/def/otl/Begroeiing>	"Begroeiing"@nl	"Het ruimtelijk voorkomen van vegetatie in samenhang met de plaats waar ze groeien en in de rangschikking die zij uit zichzelf (spontaan, natuurlijk of aangeplant) hebben aangenomen."@nl
<https://data.rws.nl/def/otl/BegroeiingsvrijGebied>	"Begroeiingsvrij gebied"@nl	"Gebied of terrein vooral bestaand uit zandgrond dat, al dan niet bewust, begroeiingsvrij is"@nl
<https://data.rws.nl/def/otl/BeheerobjectOverstijgendeVoorziening>	"Beheerobject Overstijgende Voorziening"@nl	"De elementen op een complex die aanwezig zijn ten behoeve van meerdere objecten."@nl
<https://data.rws.nl/def/otl/Bekabeling>	"Bekabeling"@nl	"Geheel van kabels om een installatie te voorzien van elektriciteit of signalen."@nl
<https://data.rws.nl/def/otl/Bekleding>	"Bekleding"@nl	"Laag waarmee iets bekleed wordt ter bescherming tegen externe invloeden zoals water, golfslag, branddoorslag en hitte."@nl
<https://data.rws.nl/def/otl/Belijning>	"Belijning"@nl	"Geheel van lijnen, strepen, stippen of pijlen op sport- en speelvelden om bepaalde sporten mogelijk te maken."@nl
<https://data.rws.nl/def/otl/Beluchtingsinstallatie>	"Beluchtingsinstallatie"@nl	"Installatie voor het toevoegen van zuurstof aan influent (afvalwater) zodat micro-organismen de organische vervuiling in het water-slibmengsel afbreken (aerobe zuivering)"@nl
<https://data.rws.nl/def/otl/Beluchtingstank>	"Beluchtingstank"@nl	"Tanks waarin aerobe zuivering van influent (afvalwater) wordt gerealiseerd met diverse actieve- en monitoringsinstallaties. Aerobe zuivering wil zeggen dat micro-organismen de organische vervuiling in het water-slibmengse afbreken door het toedienen van zuurstof"@nl
<https://data.rws.nl/def/otl/Beplating>	"Beplating"@nl	"Het geheel van platen, bevestigd op het frame, van een keringschuif die het water keren"@nl
<https://data.rws.nl/def/otl/Bergbezinkbassin>	"Bergbezinkbassin"@nl	"Bassin of een grote ondergrondse ruimte dat deel uitmaakt van het rioolstelsel en zorgt voor de tijdelijke opslag en het bezinken van afvalwater."@nl
<https://data.rws.nl/def/otl/Berm>	"Berm"@nl	"Horizontale of licht hellende strook langs de weg, spoorweg of grondlichaam veelal begroeid met gras en/of beplanting"@nl
<https://data.rws.nl/def/otl/Beschermconstructie>	"Beschermconstructie"@nl	"Constructie ter bescherming van kwetsbare of draaiende delen"@nl
<https://data.rws.nl/def/otl/Beschermkap>	"Beschermkap"@nl	"Kap ter bescherming van kwetsbare delen"@nl
<https://data.rws.nl/def/otl/Beschermlaag>	"Beschermlaag"@nl	"Laag van materiaal die wordt aangebracht om een oppervlak te beschermen tegen inwerking van buitenaf"@nl
<https://data.rws.nl/def/otl/Beschoeiing>	"Beschoeiing"@nl	"Grondkerende constructie bestaande uit een dunne wand die afkalving van de walkant moet voorkomen"@nl
<https://data.rws.nl/def/otl/Betonverharding>	"Betonverharding"@nl	"Gesloten verhardingsconstructie voor de krachtenoverbrenging van voertuigen aan de ondergrond bestaande uit gewapend of ongewapend beton"@nl
<https://data.rws.nl/def/otl/Bevestiging>	"Bevestiging"@nl	"Component voor het fixeren en op plaats houden van constructiedelen."@nl
<https://data.rws.nl/def/otl/Bewegingswerk>	"Bewegingswerk"@nl	"Installatie voor de aandrijving (beweging) van een massa kunnen zorgen"@nl
