?ConceptURI	?ConceptNaam	?Definitie
<https://data.rws.nl/def/otl/Grendelinrichting>	"Grendelinrichting"@nl	"Installatie voor het vergrendelen van het beweegbare deel van een object in een bepaalde positie"@nl
<https://data.rws.nl/def/otl/Greppel>	"Greppel"@nl	"Gegraven waterloop, veelal droogstaand, voor de afwatering en/of ontwatering van het omringende gebied, die afwatert op een sloot"@nl
<https://data.rws.nl/def/otl/Grienden>	"Grienden"@nl	"Vochtige akker met gesloten beplanting van wilgensoorten die voorkomen die regelmatig (eens in de 1-5 jaar) wordt ingekort tot aan de wortelstronk."@nl
<https://data.rws.nl/def/otl/Grijper>	"Grijper"@nl	"Grijpend deel van een hijsinstallatie"@nl
<https://data.rws.nl/def/otl/Grindkoffer>	"Grindkoffer"@nl	"Ondergrondse infiltratievoorziening waarbij grind wordt ingegraven in de grond en dat ervoor zorgt dat hemelwater wordt geïnfiltreerd zonder dat de bodem dichtslibt"@nl
<https://data.rws.nl/def/otl/Gronddepot>	"Gronddepot"@nl	"Plaats waar voorraden grond opgeslagen kunnen worden"@nl
<https://data.rws.nl/def/otl/Grondkering>	"Grondkering"@nl	"Kerende constructie die het achterliggende grondlichaam op zijn plaats houdt"@nl
<https://data.rws.nl/def/otl/Grondlichaam>	"Grondlichaam"@nl	"Vormgegeven massa grond"@nl
<https://data.rws.nl/def/otl/Grondverbetering>	"Grondverbetering"@nl	"Ondergrond verbeterd met veen of klei om het draagvermogen van de grond te verhogen."@nl
<https://data.rws.nl/def/otl/HPalen>	"H-palen"@nl	"Een profiel waarvan de dwarsdoorsnede de vorm van de letter I heeft."@nl
<https://data.rws.nl/def/otl/Haag>	"Haag"@nl	"Gesloten lijnvormige beplanting van houtachtige gewassen bestaande uit aangeplante struiken met een scheidende functie"@nl
<https://data.rws.nl/def/otl/Haagwindscherm>	"Haagwindscherm"@nl	"Gesloten lijnvormige beplanting die de wind vermindert."@nl
<https://data.rws.nl/def/otl/Haalkom>	"Haalkom"@nl	"Constructie in een sluis- of kademuur waaraan schepen kunnen worden vastgelegd."@nl
<https://data.rws.nl/def/otl/Hakhout>	"Hakhout"@nl	"(Grond met) gesloten beplanting waarvan de boom- en/of struikvormende soorten regelmatig worden ingekort tot aan de wortelstronk."@nl
<https://data.rws.nl/def/otl/Halfheester>	"Halfheester"@nl	"Laagblijvende houtachtige struik met een deels houtachtige (onderzijde) en een deels kruidachtige (bovenzijde) plant die elk jaar weer uitloopt vanuit dezelfde plant"@nl
<https://data.rws.nl/def/otl/HalfverhardSportveld>	"Halfverhard sportveld"@nl	"Sportveld waarop diverse sporten gespeeld kunnen worden en waarbij de verharding bestaat uit onsamenhangend materiaal"@nl
<https://data.rws.nl/def/otl/Halfverharding>	"Halfverharding"@nl	"Een (semi) gesloten verharding bestaande uit ongebonden of lichtgebonden steen of funderingsmateriaal"@nl
<https://data.rws.nl/def/otl/Halsbeugel>	"Halsbeugel"@nl	"Constructiedeel om draaiende constructies in de juiste positie te houden"@nl
<https://data.rws.nl/def/otl/Halslager>	"Halslager"@nl	"Lager, in de vorm van een hals, die ervoor zorgt dat verschillende delen van een constructie beter ten opzichte van elkaar kunnen bewegen door het verlagen van de wrijving"@nl
<https://data.rws.nl/def/otl/HameistijlPoort>	"Hameistijl (-poort)"@nl	"Stijl van een ophaalbrug waarop de balans rust"@nl
<https://data.rws.nl/def/otl/Hamerstuk>	"Hamerstuk"@nl	"Constructiedeel om krachten vanuit een bovenliggend punt te verdelen naar een groter onderliggend vlak"@nl
<https://data.rws.nl/def/otl/Handbrandmelder>	"Handbrandmelder"@nl	"Toestel waarmee handmatig een brandmelding kan worden gegeven"@nl
<https://data.rws.nl/def/otl/HangerBoogbrug>	"Hanger (boogbrug)"@nl	"Constructie in de hoofddraagconstructie van een boogbrug, die de verbinding maakt tussen de boog en het rijdek"@nl
<https://data.rws.nl/def/otl/Hangstang>	"Hangstang"@nl	"Staaf die bij een beweegbare brug de verbinding vormt tussen brugdek en de balans"@nl
<https://data.rws.nl/def/otl/Har>	"Har"@nl	"Verticale stijl van een puntdeur waaraan het boven- en onderdraaipunt zit bevestigd"@nl
<https://data.rws.nl/def/otl/Hark>	"Hark"@nl	"Harkvormig installatiedeel dat is bevestigd aan een roterende band of ketting voor het opscheppen van grove vaste delen uit het influent (afvalwater)."@nl
<https://data.rws.nl/def/otl/Haspel>	"Haspel"@nl	"Cilindrisch werktuig voor het op- of afwinden van slangen of kabels"@nl
<https://data.rws.nl/def/otl/Haven>	"Haven"@nl	"Natuurlijke of aangelegde veilige ligplaats voor schepen die beschutting biedt tegen wind en golven"@nl
<https://data.rws.nl/def/otl/Havendam>	"Havendam"@nl	"Dam die parallel aan de waterloop wordt aangelegd om de waterstroom te geleiden zodat beschutte ligplaatsen kunnen ontstaan."@nl
<https://data.rws.nl/def/otl/Hectometerbord>	"Hectometerbord"@nl	"Langs de weg geplaatst bord om de 100 meter voor het efficiënt lokaliseren van de positie langs de route"@nl
<https://data.rws.nl/def/otl/Heester>	"Heester"@nl	"Houtige plant die al vanaf de grond vertakt"@nl
<https://data.rws.nl/def/otl/Heesterrozen>	"Heesterrozen"@nl	"Doorbloeiende roos die winterhard  is en ieder jaar wordt gesnoeid. In het algemeen niet opgaand, met een brede groeiwijze en met licht overhangende takken"@nl
<https://data.rws.nl/def/otl/Hefdeur>	"Hefdeur"@nl	"Sluisdeur, die wordt geplaatst door middel van een hefmechanisme."@nl
<https://data.rws.nl/def/otl/Hefschuif>	"Hefschuif"@nl	"Schuif die in een waterkering wordt geplaatst middels een hefmechanisme zodat gebieden van elkaar gescheiden kunnen worden"@nl
<https://data.rws.nl/def/otl/Heftoren>	"Heftoren"@nl	"Toren terzijde van een doorvaartopening, voor het heffen van een sluisdeur, brugdek of schuif"@nl
<https://data.rws.nl/def/otl/Hek>	"Hek"@nl	"Constructie bestaande uit bijvoorbeeld palen, latten of spijlen voor het scheiden van verschillende terreingedeelten."@nl
<https://data.rws.nl/def/otl/Helling>	"Helling"@nl	"Schuinaflopende vloer die kan worden gebruikt door minder valide personen en/of transport met een wagen die is uitgerust met wielen om een hoogte te overbruggen."@nl
<https://data.rws.nl/def/otl/Hellingafwerking>	"Hellingafwerking"@nl	"Geheel van beschermende, decoratieve en stroefheidsverhogende middelen die mogelijk gebruikt kunnen worden voor de afwerking van een helling."@nl
<https://data.rws.nl/def/otl/Helmgras>	"Helmgras"@nl	"Rietachtig gras dat in het zand van de duinen groeit en heeft de eigenschap zand vast te houden"@nl
<https://data.rws.nl/def/otl/Helofytenfilter>	"Helofytenfilter"@nl	"Plantenbed dat is begroeid met moerasplanten en met behulp van zonlicht water zuivert"@nl
<https://data.rws.nl/def/otl/Hemelwaterafvoer>	"Hemelwaterafvoer (HWA)"@nl	"Hemelwaterafvoer (HWA) is een stelsel dat hemelwater inzamelt, afvoert en transporteert"@nl
<https://data.rws.nl/def/otl/Heugelstang>	"Heugelstang"@nl	"Stang met tanden die draaiende krachten omzet in een lijnvormige beweging"@nl
<https://data.rws.nl/def/otl/Hevel>	"Hevel"@nl	"Duiker, bestaand uit een gebogen buisconstructie, die water bij een bepaald niveau van het ene water in het andere laat stromen."@nl
<https://data.rws.nl/def/otl/HijsEnHefinstallatie>	"Hijs- en hefinstallatie"@nl	"Installatie voor het hijsen en transporteren van zware lasten"@nl
<https://data.rws.nl/def/otl/Hindernisbaan>	"Hindernisbaan"@nl	"Militaire oefenbaan met barrières en obstakels ten behoeve van conditietrainingen."@nl
<https://data.rws.nl/def/otl/HittewerendeBekleding>	"Hittewerende bekleding"@nl	"Bekleding waarmee een oppervlakte, voeg of dilitatie beschermd wordt tegen branddoorslag of hitte."@nl
<https://data.rws.nl/def/otl/Hockeyveld>	"Hockeyveld"@nl	"Sportveld dat is ingericht om hockey op te spelen"@nl
<https://data.rws.nl/def/otl/Honkbalveld>	"Honkbalveld"@nl	"Sportveld dat is ingericht om honkbal op te spelen."@nl
<https://data.rws.nl/def/otl/Hoofddraagconstructie>	"Hoofddraagconstructie"@nl	"Primaire dragende constructie van een kunstwerk dat optredende belasting opneemt."@nl
<https://data.rws.nl/def/otl/Hoofddraaipunt>	"Hoofddraaipunt"@nl	"Primaire punt waar een constructie omheen roteert."@nl
<https://data.rws.nl/def/otl/Hoofdverdeler>	"Hoofdverdeler"@nl	"Samenstelling die verschillende types schakel-, beveiligings- en besturingsmaterieel bevat en met één of meer uitgaande elektrische stroomketens is verbonden en wordt gevoed door één of meer inkomende elektrische stroomketens samen met de klemmen voor de nul- en de beschermingsleidingen."@nl
<https://data.rws.nl/def/otl/HoogFrequentInstallatie>	"Hoog Frequent installatie (HF)"@nl	"Installatie die draadloze communicatie via de HF-band mogelijk maakt"@nl
<https://data.rws.nl/def/otl/Hoogspanningsinstallatie>	"Hoogspanningsinstallatie"@nl	"Installatie voor het afnemen en gebruiken van elektrische energie boven de 1000 Volt (wisselspanning) of 1500 volt (gelijkspanning) (bron: BB, art. 6.8)."@nl
<https://data.rws.nl/def/otl/Hoogspanningsverdeler>	"Hoogspanningsverdeler"@nl	"Installatiedeel voor het verdelen van wisselspanningen van 1000 Volt en hoger"@nl
<https://data.rws.nl/def/otl/Hoogspringaccommodatie>	"Hoogspringaccommodatie"@nl	"Sportvoorziening voor de atletiek waarbij de deelnemers over een lat moeten springen die steeds hoger geplaatst kan worden"@nl
<https://data.rws.nl/def/otl/HoogtedetectieInstallatie>	"Hoogtedetectie-installatie"@nl	"Installatie die een hoogte-overschrijding van het profiel van vrije ruimte door een voertuig detecteert"@nl
<https://data.rws.nl/def/otl/Hulppostkast>	"Hulppostkast"@nl	"Kast in de wand van een tunnel waarin zich veiligheidsvoorzieningen bevinden voor de weggebruiker en de hulpdiensten."@nl
<https://data.rws.nl/def/otl/Hydrant>	"Hydrant"@nl	"Tappunt op een onder druk staande waterleiding voor afname van water door de brandweer."@nl
<https://data.rws.nl/def/otl/HydraulischAggregaat>	"Hydraulisch aggregaat"@nl	"Installatie dat zorgt voor het leveren van een (constante) vloeistofdruk aan installatiedelen. Een hydraulisch aggregaat kenmerkt zich doordat alle installatiedelen bij elkaar zijn gemonteerd op een platform."@nl
<https://data.rws.nl/def/otl/Hydrometer>	"Hydrometer"@nl	"Meetinstrument dat wordt gebruikt voor het bepalen van de dichtheid van vloeistoffen"@nl
<https://data.rws.nl/def/otl/Hydromotor>	"Hydromotor"@nl	"Een hydraulisch aangedreven motor welke een roterende beweging faciliteert"@nl
<https://data.rws.nl/def/otl/IJsbaan>	"IJsbaan"@nl	"Een terrein waarop een ondiepe laag water wordt aangebracht om op te schaatsen wanneer de vorst intreedt."@nl
<https://data.rws.nl/def/otl/InGrondVervaardigdePalen>	"In grond vervaardigde palen"@nl	"Funderingspaal van gewapend beton die in een vooraf in de grond gevormd gat wordt vervaardigd en zichzelf verankerd."@nl
<https://data.rws.nl/def/otl/Inbraakbeveiligingsinstallatie>	"Inbraakbeveiligingsinstallatie"@nl	"Installatie voor het detecteren van inbraken."@nl
<https://data.rws.nl/def/otl/IndividueleBehandelingVanAfvalwater>	"Individuele Behandeling van Afvalwater (IBA)"@nl	"Reservoir waarbij het vuilwater op biologische wijze wordt gereinigd en het gereinigde water direct wordt geloosd op het oppervlaktewater."@nl
<https://data.rws.nl/def/otl/IndividueleBehandelingVanAfvalwaterSysteem>	"Individuele Behandeling van Afvalwater systeem (IBA-systeem)"@nl	"Reservoir waarbij het vuilwater op biologische wijze wordt gereinigd en het gereinigde water direct wordt geloosd op het oppervlaktewater."@nl
<https://data.rws.nl/def/otl/Infiltratiekratten>	"Infiltratiekratten"@nl	"Krat met waterdoorlatende wanden bestemd voor de inzameling van hemelwater, waarbij het hemelwater door middel van infiltratie door de wanden kan worden afgevoerd."@nl
<https://data.rws.nl/def/otl/Infiltratieleiding>	"Infiltratieleiding"@nl	"Rioolleiding met waterdoorlatende wanden bestemd voor de inzameling en transport van hemelwater, waarbij het hemelwater door middel van infiltratie door de wanden wordt afgevoerd."@nl
<https://data.rws.nl/def/otl/Infiltratievelden>	"Infiltratievelden"@nl	"Verdiept terrein met een waterdoorlatende bodem bestemd voor de inzameling van hemelwater, waarbij dit water door middel van infiltratie in de bodem kan worden afgevoerd."@nl
<https://data.rws.nl/def/otl/Infiltratievijvers>	"Infiltratievijvers"@nl	"Natuurlijk open reservoir met waterdoorlatende wanden voor de tijdelijke berging van hemelwater, waarbij het hemelwater door middel van infiltratie door de wanden kan worden afgevoerd."@nl
<https://data.rws.nl/def/otl/Infiltratievoorziening>	"Infiltratievoorziening"@nl	"Constructie waardoor water kan infiltreren in de bodem."@nl
<https://data.rws.nl/def/otl/InformatieEnVolgsysteemScheepvaart1990>	"Informatie en Volgsysteem Scheepvaart 1990 (IVS90)"@nl	"Informatiesysteem dat wordt gebruikt in een verkeerspost waarin scheeps- en ladinggegevens worden geregistreerd en schepen worden gevolgd."@nl
<https://data.rws.nl/def/otl/Informatiebord>	"Informatiebord"@nl	"Bord dat algemene, bewegwijzering en overige informatie verschaft."@nl
<https://data.rws.nl/def/otl/InfragebondenGebouw>	"Infragebonden gebouw"@nl	"Bouwwerk ter ondersteuning van een infrastructureel object of een deel van een bouwwerk, dat een voor mensen toegankelijk overdekte en geheel of gedeeltelijk met wanden omsloten ruimte vormt, dat bestemd en/of ingericht is voor menselijk verblijf, arbeid, installaties of handel."@nl
<https://data.rws.nl/def/otl/Infraroodlamp>	"Infraroodlamp"@nl	"Armatuur met een lichtbron die een onzichtbare lichtkleur heeft en ultrarode straling bevat die wordt toegepast voor het detecteren van temperatuurverschillen op en langs wegen."@nl
<https://data.rws.nl/def/otl/Inlaat>	"Inlaat"@nl	"Constructie met één of meerdere aftakkingen bestemd voor het aansluiten van aansluitleidingen op het riool."@nl
<https://data.rws.nl/def/otl/Inlaatvoorziening>	"Inlaatvoorziening"@nl	"Constructie bestemd voor de opvang van hemelwater en/ of afvalwater afkomstig van erop aangesloten oppervlakken en de afvoer van dit water naar een rioolstelsel."@nl
<https://data.rws.nl/def/otl/Inlooptrommel>	"Inlooptrommel"@nl	"Gedeelte van een inlaatvoorziening dat dient als verzamelpunt voor het door de ruimerinstallatie bijeengebracht slib."@nl
<https://data.rws.nl/def/otl/Inspectiewagen>	"Inspectiewagen"@nl	"Beweegbare wagen deel van een object dat langs een geleiding kan worden getransporteerd voor onderhoud en inspectie naar plaatsen van een object die anders moeilijk of niet bereikbaar zijn."@nl
<https://data.rws.nl/def/otl/Installatiekabel>	"Installatiekabel"@nl	"Kabel die elektrische stroom geleidt en bijvoorbeeld wordt gebruikt voor de aansluiting van verlichting, wandcontactdozen en kleine motoren"@nl
<https://data.rws.nl/def/otl/Instroomopening>	"Instroomopening"@nl	"Gedeelte van een constructie waardoor het water naar binnen stroomt."@nl
<https://data.rws.nl/def/otl/Intercom>	"Intercom"@nl	"Installatiedeel waarmee tweeweg communicatie mogelijk is met een alarmcentrale."@nl
<https://data.rws.nl/def/otl/Intercominstallatie>	"Intercominstallatie"@nl	"Installatie die directe spraakcommunicatie tussen twee of meer personen mogelijk maakt."@nl
<https://data.rws.nl/def/otl/Intercompost>	"Intercompost"@nl	"Onderdeel van een intercominstallatie dat wordt gebruikt voor het inspreken en uitzenden van boodschappen."@nl
<https://data.rws.nl/def/otl/Isolator>	"Isolator"@nl	"Installatiedeel van een niet-geleidend materiaal dat energie, zoals warmte of elektriciteit niet of nauwelijks doorlaat"@nl
<https://data.rws.nl/def/otl/JaloezieLamel>	"Jaloezie (lamel)"@nl	"Reguleerbaar zonwerend installatiedeel dat bestaat uit dunne horizontale stroken of latjes die kantelbaar zijn."@nl
<https://data.rws.nl/def/otl/Juk>	"Juk"@nl	"Constructiedeel met of voor een schanierend deel (balans) voor het verdelen van een of twee lasten."@nl
<https://data.rws.nl/def/otl/Kaapstander>	"Kaapstander"@nl	"Wiel op een verticale as met een ketting eraan om zware lasten te verplaatsen."@nl
<https://data.rws.nl/def/otl/Kaart>	"Kaart"@nl	"Object dat wordt gebruikt om toegang te autoriseren tot deuren die aangesloten zijn op een toegangssysteem"@nl
<https://data.rws.nl/def/otl/Kabel>	"Kabel"@nl	"Een geleider die is voorzien van een ommanteling en bestemd is voor transport van energie of data."@nl
<https://data.rws.nl/def/otl/KabelEnLeiding>	"Kabel en leiding"@nl	"twee regels"@nl
<https://data.rws.nl/def/otl/KabelEnLeidingtunnel>	"Kabel- en leidingtunnel"@nl	"Kokervormige constructie die ervoor dient om kabels en buisleidingen door te voeren."@nl
<https://data.rws.nl/def/otl/Kabeldoorvoer>	"Kabeldoorvoer"@nl	"Afgedichte opening in een constructie die buizen of kabels doorgang geeft naar een andere ruimte."@nl
<https://data.rws.nl/def/otl/Kabeldraagconstructie>	"Kabeldraagconstructie"@nl	"Constructie ter bevestiging, bescherming en/of ondersteunung van kabels en/ of leidingen."@nl
<https://data.rws.nl/def/otl/Kabelgoot>	"Kabelgoot"@nl	"Gesloten omhulsel met een verwijderbaar deksel die kabels of draden afschermt en geleidt"@nl
<https://data.rws.nl/def/otl/Kabelspaninrichting>	"Kabelspaninrichting"@nl	"Component dat er voor zorgt dat een draagkabel de juiste spanning blijft behouden"@nl
<https://data.rws.nl/def/otl/Kabeltender>	"Kabeltender"@nl	"Constructie bestaande uit verschillende aan elkaar aangesloten schakels die bewegende kabels beschermen door ze in een rupsbeweging te begeleiden."@nl
<https://data.rws.nl/def/otl/Kabeltrommel>	"Kabeltrommel"@nl	"Installatiedeel van een aandrijvingswerk dat, al dan niet met tussenkomst van een reductie, een staalkabel op spanning brengt door een roterende trommel."@nl
<https://data.rws.nl/def/otl/Kade>	"Kade"@nl	"Beschoeide of gemetselde constructies langs de oever waar schepen kunnen aanleggen"@nl
<https://data.rws.nl/def/otl/Kadeput>	"Kadeput"@nl	"Put op een aanlegplaats voor schepen"@nl
<https://data.rws.nl/def/otl/Kanaal>	"Kanaal"@nl	"Gegraven grote waterloop die dient voor scheepvaart en/of watertransport."@nl
<https://data.rws.nl/def/otl/Kapiteel>	"Kapiteel"@nl	"Bovenstuk van een kolom die de kracht van een draagvlak kan overbrengen."@nl
<https://data.rws.nl/def/otl/Kast>	"Kast"@nl	"Afsluitbare behuizing die dient om iets in om te bergen en/ of te beschermen."@nl
<https://data.rws.nl/def/otl/KathodischeBescherminstallatie>	"Kathodische bescherminstallatie"@nl	"Installatie ten behoeve van corrosiebestrijding dat berust op het principe van potentiaalverlaging van het te beschermen object."@nl
<https://data.rws.nl/def/otl/Keerelement>	"Keerelement"@nl	"Constructiedeel, dat door vorm, gewicht en fundering zonder verankering iets kan keren."@nl
<https://data.rws.nl/def/otl/Keermuur>	"Keermuur"@nl	"Muur die door vorm, gewicht en fundering zonder verankering de grond keert."@nl
<https://data.rws.nl/def/otl/Keerplaats>	"Keerplaats"@nl	"Plaats waar de vaarweg is verbreed zodat schepen de gelegenheid hebben om te keren."@nl
<https://data.rws.nl/def/otl/Keersluis>	"Keersluis"@nl	"Waterbouwkundige constructie die het watersysteem en het achterland beschermt bij hoogwater vanuit de rivieren."@nl
<https://data.rws.nl/def/otl/Keerwand>	"Keerwand"@nl	"Wand aan het uiteinde van een schietbaan voor het keren van kogels"@nl
<https://data.rws.nl/def/otl/Kegelstuk>	"Kegelstuk"@nl	"Bovenste constructiedeel van een prefab betonnen rioolput wat direct op de schachtopbouw is aangebracht en een sponning bevat voor de deksel zodat de put toegankelijk is."@nl
<https://data.rws.nl/def/otl/Kelder>	"Kelder"@nl	"Bouwkundige constructie of ruimte onder de begane grond"@nl
<https://data.rws.nl/def/otl/KerendeConstructie>	"Kerende constructie"@nl	"Verticaal in de grond geplaatste wand die grondkerend en/of waterkerend is."@nl
<https://data.rws.nl/def/otl/Keringschuif>	"Keringschuif"@nl	"Schuif toegepast in een stormvloedkering voor het keren van extreem hoge waterstanden."@nl
<https://data.rws.nl/def/otl/Kesp>	"Kesp"@nl	"Balk die als draagconstructie is aangebracht over een aantal funderingspalen"@nl
<https://data.rws.nl/def/otl/Ketel>	"Ketel"@nl	"Een installatiedeel bestaande uit een ketellichaam en een brander, die verbrandingswarmte op water overbrengt."@nl
<https://data.rws.nl/def/otl/Ketting>	"Ketting"@nl	"Aantal ringen of schakels die met elkaar zijn verbonden en die gezamenlijk een langwerpige verbinding vormen"@nl
<https://data.rws.nl/def/otl/Kettingoog>	"Kettingoog"@nl	"Een ijzeren of metalen ring die bevestigd is aan een afmeervoorzieining zodat schepen hier kunnen afmeren"@nl
<https://data.rws.nl/def/otl/Kettingoverbrenging>	"Kettingoverbrenging"@nl	"Constructiedeel waarbij mechanische energie wordt overgebracht doormiddel van een ketting"@nl
<https://data.rws.nl/def/otl/Kettingtand>	"Kettingtand"@nl	"Tandvormig installatiedeel dat is bevestigd aan een roterende band of ketting voor het opscheppen van grove vaste delen uit het influent (afvalwater)."@nl
<https://data.rws.nl/def/otl/Kettingverankering>	"Kettingverankering"@nl	"Beugelvormige ring die bevestigd is aan een afmeervoorzieining zodat schepen hier kunnen afmeren"@nl
<https://data.rws.nl/def/otl/Keukenblok>	"Keukenblok"@nl	"Geheel bestaande uit een aanrecht, ingebouwde spoelbak en kastjes."@nl
<https://data.rws.nl/def/otl/Keukeninrichting>	"Keukeninrichting"@nl	"Samenstel van bouwdelen die zich in een keuken bevinden zoals keukenblok en keukeninstallatie die gezamenlijk de keuken vormen"@nl
<https://data.rws.nl/def/otl/Keukeninstallatie>	"Keukeninstallatie"@nl	"Geheel van installaties, apparaten en toestellen die gebruikt worden voor de verwerking van voedingsmiddelen."@nl
<https://data.rws.nl/def/otl/Kinderspeelplaats>	"Kinderspeelplaats"@nl	"Terreindeel dat is ingericht voor kinderen om buiten te spelen."@nl
<https://data.rws.nl/def/otl/Kist>	"Kist"@nl	"Afsluitbare opslagplaats om bijvoorbeld lucht te herbergen voor het realiseren van opwaartse druk."@nl
<https://data.rws.nl/def/otl/Klep>	"Klep"@nl	"Constructiedeel dat de doorstroming van een medium tegenhoudt of vertraagt"@nl
<https://data.rws.nl/def/otl/Klepconstructie>	"Klepconstructie"@nl	"Klep inclusief toebehoren waarmee de doorlaat van water in een waterbuis wordt geregeld doormiddel van roterend deel (de klep)."@nl
<https://data.rws.nl/def/otl/Klepketting>	"Klepketting"@nl	"Ketting voor het overdragen van mechanische energie met specifieke ophangpunten aan de uiteinden"@nl
<https://data.rws.nl/def/otl/KlimEnLeiplant>	"Klim- en leiplant"@nl	"Plant met buigzame stengels die kan klimmen of in een bepaalde groeirichting wordt gedwongen en die zich op diverse manieren aan muren, bomen of constructies hecht en zodoende omhoog klimt."@nl
<https://data.rws.nl/def/otl/Klimaatinstallatie>	"Klimaatinstallatie"@nl	"Installatie om het klimaat in een afgesloten constructie te regelen."@nl
<https://data.rws.nl/def/otl/Klimplant>	"Klimplant"@nl	"Plant met buigzame stengels die zich op diverse manieren aan muren, bomen of constructies hecht en zodoende omhoog klimt."@nl
<https://data.rws.nl/def/otl/Klimplantconstructie>	"Klimplantconstructie"@nl	"Constructie ter ondersteuning van klimplanten."@nl
<https://data.rws.nl/def/otl/Klimtoestel>	"Klimtoestel"@nl	"Speeltoestel om te klimmen."@nl
<https://data.rws.nl/def/otl/Knelbeveiliging>	"Knelbeveiliging"@nl	"Installatiedeel dat beknelling door bewegende delen voorkomt doormiddel van detectie"@nl
<https://data.rws.nl/def/otl/Knooppunt>	"Knooppunt"@nl	"Plaats waar staven samenkomen en voor een verbinding zorgen."@nl
<https://data.rws.nl/def/otl/Koelmachine>	"Koelmachine"@nl	"Machine waarmee door cyclische verdamping en condensatie van een koelmiddel warmte aan een ruimte kan worden onttrokken"@nl
<https://data.rws.nl/def/otl/Kogelvanger>	"Kogelvanger"@nl	"Constructiedeel op een schietbaan om kogels op te vangen"@nl
<https://data.rws.nl/def/otl/Koker>	"Koker"@nl	"Langwerpige ronde buis ter bescherming en/of ter geleiding van iets."@nl
<https://data.rws.nl/def/otl/Kolk>	"Kolk"@nl	"Constructie bestemd om het hemelwater dat op de verharding valt in te zamelen en af te voeren."@nl
<https://data.rws.nl/def/otl/Kolom>	"Kolom"@nl	"Verticale constructie die kan dienen als drager."@nl
<https://data.rws.nl/def/otl/Kooi>	"Kooi"@nl	"Deel van de personenlift bestemd voor het opnemen van personen en/of goederen die moeten worden vervoerd."@nl
<https://data.rws.nl/def/otl/Koppeling>	"Koppeling"@nl	"Verbinding bestaande uit een samenstel van mechanische componenten waarmee twee of meer delen van een machine met elkaar kunnen worden verbonden om vermogen (rotatie en koppel) over te brengen van een aandrijvende as naar een aangedreven as"@nl
<https://data.rws.nl/def/otl/Kozijn>	"Kozijn"@nl	"Raamwerk bestaande uit een onder- en bovendorpel en twee of meer stijlen waar een raam, deur of ander element in kan worden aangebracht."@nl
<https://data.rws.nl/def/otl/Kozijnwerk>	"Kozijnwerk"@nl	"Samenstel van bouwdelen die gezamenlijk het kozijn vormen zoals bijvoorbeeld het kozijn zelf, de beglazing en de deur"@nl
<https://data.rws.nl/def/otl/Kraan>	"Kraan"@nl	"Installatiedeel waarmee de stroming van een vloeistof of gas in een leiding geregeld kan worden"@nl
<https://data.rws.nl/def/otl/Kraanrail>	"Kraanrail"@nl	"Rail waarover een kraan of een groot takelwerktuig, zich voortbeweegt."@nl
<https://data.rws.nl/def/otl/Kraanrailfundering>	"Kraanrailfundering"@nl	"Fundatie van een kraanrail."@nl
<https://data.rws.nl/def/otl/Krib>	"Krib"@nl	"Dam die haaks of schuin op de oever staat en de oever, kribvakken en uiterwaarden beschermt tegen uitspoeling door de de waterstroom te beheersen."@nl
<https://data.rws.nl/def/otl/Kribbaken>	"Kribbaken"@nl	"Hoogste punt in het dwarsprofiel van een dijklichaam of een terp"@nl
<https://data.rws.nl/def/otl/Kribvak>	"Kribvak"@nl	"Oever of rivierbodem tussen twee kribben in."@nl
<https://data.rws.nl/def/otl/KruidachtigePlant>	"Kruidachtige plant"@nl	"Een niet of in zeer geringe mate verhoute plant"@nl
<https://data.rws.nl/def/otl/Kruin>	"Kruin"@nl	"Hoogste punt in het dwarsprofiel van een dijklichaam, krib of een terp"@nl
<https://data.rws.nl/def/otl/Krukstang>	"Krukstang"@nl	"Stang die onderdeel is van een instalatie en zorgt voor de aandrijving van de installatie."@nl
<https://data.rws.nl/def/otl/Kunstobject>	"Kunstobject"@nl	"Object dat is gemaakt door een kunstenaar zijnde beeldende kunst."@nl
<https://data.rws.nl/def/otl/Kunststofsportveld>	"Kunststofsportveld"@nl	"Sportveld waarvan de toplaag is vervaardigd is uit kunststof."@nl
<https://data.rws.nl/def/otl/Kwelder>	"Kwelder"@nl	"Buitendijks gebied dat is aangeslibd, doorgaans begroeid en met (gewone) vloed niet meer onder water loopt."@nl
<https://data.rws.nl/def/otl/KwhMetering>	"KWh-metering"@nl	"Apparaat voor de meting van elektrische arbeid in de eenheid kilowattuur."@nl
<https://data.rws.nl/def/otl/Laagspanningsinstallatie>	"Laagspanningsinstallatie"@nl	"Installatie voor het afnemen en gebruiken van elektrische energie onder de 1000 Volt (wisselspanning) of 1500 volt (gelijkspanning) (bron: BB, art. 6.8)."@nl
<https://data.rws.nl/def/otl/Ladder>	"Ladder"@nl	"Constructie die bestaat uit twee bomen en daartussen een reeks van sporten voor het overbruggen van hoogteverschillen."@nl
<https://data.rws.nl/def/otl/Ladderbaan>	"Ladderbaan"@nl	"Verticale kabelgoot voor het ondersteunen en/ of beschermen van kabels"@nl
<https://data.rws.nl/def/otl/Lager>	"Lager"@nl	"Component dat ervoor zorgt dat de delen van de omvattende constructie goed ten opzichte van elkaar kunnen bewegen door het minimaliseren van de wrijving."@nl
